	strain	fasta_depth	log_fasta_depth	taxa_hits	tp	fp	aligner	hit_rate	precision	recall
0	kpneumoniae	316642	5	63206.0	47483.0	15723.0	bowtie2	0.19961344357349942	0.7512419706989842	0.1499579967281662
1	ecoli	91	1	88.0	88.0	0.0	bowtie2	0.967032967032967	1.0	0.967032967032967
2	kpneumoniae	3199	3	647.0	537.0	110.0	bowtie2	0.20225070334479525	0.8299845440494591	0.1678649577993123
3	ecoli	105	2	104.0	104.0	0.0	bowtie2	0.9904761904761905	1.0	0.9904761904761905
4	saureus	265531	5	178840.0	177358.0	1482.0	bowtie2	0.6735183462571225	0.9917132632520689	0.6679370770267878
5	kpneumoniae	3102	3	498.0	471.0	27.0	bowtie2	0.16054158607350097	0.9457831325301205	0.1518375241779497
6	ecoli	9109	3	8892.0	8822.0	70.0	bowtie2	0.9761774069601493	0.99212775528565	0.9684926995279394
7	kpneumoniae	315638	5	63215.0	47584.0	15631.0	bowtie2	0.20027689948612018	0.7527327374831922	0.15075497880483338
8	ecoli	91918	4	89636.0	88925.0	711.0	bowtie2	0.9751735242281163	0.9920679191396314	0.9674383689810483
9	ecoli	91859	4	89451.0	88712.0	739.0	bowtie2	0.9737859110157959	0.9917384937004617	0.9657409725775373
10	kpneumoniae	316	2	54.0	54.0	0.0	bowtie2	0.17088607594936708	1.0	0.17088607594936708
11	ecoli	9241	3	8972.0	8895.0	77.0	bowtie2	0.9708905962558164	0.991417744092733	0.9625581647007899
12	saureus	282	2	180.0	180.0	0.0	bowtie2	0.6382978723404256	1.0	0.6382978723404256
13	kpneumoniae	31771	4	6233.0	4687.0	1546.0	bowtie2	0.19618520033993264	0.751965345740414	0.14752447200276983
14	saureus	26657	4	17897.0	17860.0	37.0	bowtie2	0.6713808755673932	0.9979326144046489	0.6699928724162509
15	saureus	2651	3	1761.0	1756.0	5.0	bowtie2	0.6642776310826103	0.997160704145372	0.6623915503583553
16	kpneumoniae	3138	3	498.0	498.0	0.0	bowtie2	0.1586998087954111	1.0	0.1586998087954111
17	saureus	26378	4	17713.0	17579.0	134.0	bowtie2	0.6715065584957162	0.9924349347936544	0.6664265675942073
18	ecoli	9206	3	8992.0	8922.0	70.0	bowtie2	0.9767542906799913	0.9922153024911032	0.9691505539865305
19	saureus	26621	4	17738.0	17694.0	44.0	bowtie2	0.6663160662634762	0.9975194497688579	0.6646632357912926
20	ecoli	923	2	897.0	897.0	0.0	bowtie2	0.971830985915493	1.0	0.971830985915493
21	ecoli	9111	3	8861.0	8788.0	73.0	bowtie2	0.9725606409834266	0.9917616521837265	0.9645483481505872
22	kpneumoniae	315865	5	63246.0	47481.0	15765.0	bowtie2	0.20023111139252528	0.750735224362015	0.15032054833552308
23	ecoli	909	2	878.0	878.0	0.0	bowtie2	0.9658965896589659	1.0	0.9658965896589659
24	ecoli	9158	3	8931.0	8849.0	82.0	bowtie2	0.9752129285870277	0.9908184973687157	0.9662590085171435
25	kpneumoniae	3160251	6	633909.0	475802.0	158107.0	bowtie2	0.20058818112865084	0.7505840743702961	0.15055829426206968
26	kpneumoniae	3043	3	572.0	478.0	94.0	bowtie2	0.1879723956621755	0.8356643356643356	0.15708182714426552
27	ecoli	91786	4	89347.0	88655.0	692.0	bowtie2	0.973427320070599	0.9922549162255028	0.9658880439282679
